"Marca temporal","¿Con qué frecuencia sueles comprar libros?","¿Qué tipo de libros te interesan más?","¿Qué características buscas en una página web de una biblioteca?","¿Cuál es tu método de pago preferido al comprar en línea?","¿Cuánto influye un descuento o promoción en tu decisión de compra?","¿Qué factores influyen más en tu decisión de comprar un libro?","¿Le resulta fácil localizar los libros en el inventario de la biblioteca?","¿Le gustaría que la biblioteca ofreciera más materiales en otros idiomas?","¿Qué géneros o temas adicionales le gustaría que se incorporarán en el inventario?","¿Prefiere que los materiales de la biblioteca estén organizados por?","  ¿Asiste usted regularmente a los eventos de esta biblioteca?  ","  ¿Considera importante que las bibliotecas ofrezcan eventos para la comunidad?  ","  ¿Participaría en eventos virtuales ofrecidos por bibliotecas si estuvieran disponibles?  ","¿Considera útil poder solicitar préstamos de libros físicos desde una página web?","¿Estaría dispuesto a pagar una tarifa adicional por el servicio de entrega de los libros?","¿Para usted, el tiempo adecuado del préstamo es?","¿Prefiere poder renovar el préstamo de un libro sin tener que devolverlo ","¿Le gustaría recibir notificaciones sobre la fecha de vencimiento del préstamo?"
"2024/11/27 7:46:10 p.m. GMT-5","A veces","Novelas y ficción","Información detallada de los libros","Pago contra entrega","A veces influye en mi decisión","Reseñas de otros lectores","No","Si","Desarrollo personal","Por genero","Rara vez","No es muy importante","No estoy seguro/a","Útil","Sí, dependiendo del costo","1 mes","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/27 7:54:05 p.m. GMT-5","Rara vez","Novelas y ficción","Información detallada de los libros","Pago contra entrega","A veces influye en mi decisión","Reseñas de otros lectores","Si","Si","Desarrollo personal","Por tema","A veces","Sí, es muy importante","Tal vez","Útil","No, prefiero recogerlo personalmente","1 mes","Sí, me parece conveniente","Sí, por correo electrónico"
"2024/11/28 9:10:31 a.m. GMT-5","A veces","Novelas y ficción","Compras en línea sencillas","PayPal u otro sistema de pago digital","A menudo influye en mi decisión","Popularidad del autor o título","No","Si","Desarrollo personal","Por genero","No,nunca","Es algo importante","Tal vez","Muy útil","Sí, dependiendo del costo","2 meses","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/28 9:18:26 a.m. GMT-5","Rara vez","Novelas y ficción","Facilidad para buscar libros","Pago contra entrega","A veces influye en mi decisión","Reseñas de otros lectores","No","No es necesario","Ciencia ficción","Por genero","No,nunca","Es algo importante","No estoy seguro/a","Poco útil","Sí, dependiendo del costo","1 mes","Tal vez, depende de las condiciones","Sí, por correo electrónico"
"2024/11/28 9:34:43 a.m. GMT-5","Rara vez","Novelas y ficción","Compras en línea sencillas","Pago contra entrega","A veces influye en mi decisión","Reseñas de otros lectores","Si","No es necesario","Ciencia ficción","Por genero","Rara vez","No es muy importante","No, no participaría","Nada útil","No, prefiero recogerlo personalmente","2 semanas","Sí, me parece conveniente","Sí, por correo electrónico"
"2024/11/28 9:35:16 a.m. GMT-5","Nunca","Textos académicos","Reseñas y recomendaciones","Pago contra entrega","","Precio","Si","No","Ciencia ficción","Por genero","Rara vez","Es algo importante","No estoy seguro/a","Poco útil","No, no estoy interesado en el servicio","1 mes","Sí, me parece conveniente","Sí, por correo electrónico"
"2024/11/28 9:35:55 a.m. GMT-5","Nunca","Textos académicos","Información detallada de los libros","PayPal u otro sistema de pago digital","No influye en absoluto","Precio","Si","No es necesario","Ciencia ficción","Por tema","Sí, con frecuencia","Sí, es muy importante","Tal vez","Poco útil","No, no estoy interesado en el servicio","2 semanas","Tal vez, depende de las condiciones","Sí, por correo electrónico"
"2024/11/28 10:58:28 a.m. GMT-5","A veces","Novelas y ficción","Facilidad para buscar libros","Pago contra entrega","Siempre compro en promociones","Precio","Si","Si","Ciencia ficción","Por genero","No,nunca","Sí, es muy importante","Sí, definitivamente","Muy útil","Sí, dependiendo del costo","1 mes","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/28 12:21:04 p.m. GMT-5","Rara vez","Novelas y ficción","Facilidad para buscar libros","PayPal u otro sistema de pago digital","Siempre compro en promociones","Precio","No","Si","Desarrollo personal","Por genero","No,nunca","Sí, es muy importante","Tal vez","Útil","Sí, dependiendo del costo","2 meses","Sí, me parece conveniente","Sí, por correo electrónico"
"2024/11/28 12:21:05 p.m. GMT-5","Frecuentemente","Novelas y ficción","Reseñas y recomendaciones","PayPal u otro sistema de pago digital","Siempre compro en promociones","Precio","Si","No es necesario","Ciencia ficción","Por tema","A veces","Sí, es muy importante","Tal vez","Muy útil","Sí, dependiendo del costo","1 mes","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/28 12:21:32 p.m. GMT-5","Nunca","Cómics y novelas gráficas","Información detallada de los libros","PayPal u otro sistema de pago digital","A veces influye en mi decisión","Disponibilidad en tienda","No","No","Ciencia ficción","Por genero","A veces","No es muy importante","Tal vez","Muy útil","No, prefiero recogerlo personalmente","1 mes","No, prefiero devolverlo antes de renovarlo","Sí, por correo electrónico"
"2024/11/28 12:21:42 p.m. GMT-5","Rara vez","Novelas y ficción","Facilidad para buscar libros","Pago contra entrega","Siempre compro en promociones","Precio","Si","Si","Desarrollo personal","Por genero","No,nunca","Sí, es muy importante","No, no participaría","Muy útil","No, no estoy interesado en el servicio","2 meses","Sí, me parece conveniente","No, no considero necesario recibir notificaciones"
"2024/11/28 12:22:44 p.m. GMT-5","Nunca","Libros de no ficción","Promociones y descuentos","Pago contra entrega","A menudo influye en mi decisión","Recomendaciones del personal","No","No es necesario","Desarrollo personal","Por genero","No,nunca","No es importante en absoluto","No, no participaría","Poco útil","No, no estoy interesado en el servicio","1 mes","Tal vez, depende de las condiciones","No, no considero necesario recibir notificaciones"
"2024/11/28 12:23:07 p.m. GMT-5","Frecuentemente","Novelas y ficción","Reseñas y recomendaciones","Pago contra entrega","Rara vez influye","Precio","Si","No es necesario","Ciencia ficción","Por genero","No,nunca","Es algo importante","Tal vez","Muy útil","Sí, dependiendo del costo","2 semanas","Sí, me parece conveniente","Sí, por correo electrónico"
"2024/11/28 12:24:07 p.m. GMT-5","Rara vez","Novelas y ficción","Reseñas y recomendaciones","Tarjeta de crédito/débito","Siempre compro en promociones","Reseñas de otros lectores","No","Si","Ciencia ficción","Por genero","No,nunca","No es muy importante","Tal vez","Muy útil","Sí, dependiendo del costo","1 mes","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/28 12:26:09 p.m. GMT-5","Rara vez","Cómics y novelas gráficas","Reseñas y recomendaciones","Pago contra entrega","Siempre compro en promociones","Precio","Si","Si","Historia","Por tema","A veces","Sí, es muy importante","Tal vez","Poco útil","Sí, definitivamente","1 mes","No, prefiero devolverlo antes de renovarlo","Sí, por correo electrónico"
"2024/11/28 12:28:47 p.m. GMT-5","Nunca","Novelas y ficción","Compras en línea sencillas","Transferencia bancaria","Siempre compro en promociones","Precio","No","No es necesario","Historia","Por tema","A veces","No es muy importante","Tal vez","Poco útil","Sí, definitivamente","1 mes","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
"2024/11/28 12:54:17 p.m. GMT-5","A veces","Libros de no ficción","Facilidad para buscar libros","PayPal u otro sistema de pago digital","Rara vez influye","Reseñas de otros lectores","Si","No es necesario","Historia","Por tema","A veces","Sí, es muy importante","Tal vez","Muy útil","Sí, dependiendo del costo","1 mes","No, prefiero devolverlo antes de renovarlo","Sí, por correo electrónico"
"2024/11/28 3:26:30 p.m. GMT-5","Rara vez","Novelas y ficción","Facilidad para buscar libros","Pago contra entrega","A menudo influye en mi decisión","Precio","Si","No es necesario","Ciencia ficción","Por tema","No,nunca","Es algo importante","No, no participaría","Útil","No, no estoy interesado en el servicio","1 mes","Tal vez, depende de las condiciones","No, no considero necesario recibir notificaciones"
"2024/11/28 7:24:09 p.m. GMT-5","A veces","Novelas y ficción","Facilidad para buscar libros","Pago contra entrega","Rara vez influye","Reseñas de otros lectores","No","Si","Ciencia ficción","Por tema","Sí, con frecuencia","Sí, es muy importante","Sí, definitivamente","Muy útil","Sí, definitivamente","2 semanas","Sí, me parece conveniente","Sí, por mensaje de texto o aplicación móvil"
